epoch,loss
1,0.2640
2,0.0962
3,0.0732
4,0.0540
5,0.0540
6,0.0473
7,0.0403
8,0.0358
9,0.0411
10,0.0403
11,0.0399
12,0.0343
13,0.0347
14,0.0318
15,0.0343
16,0.0318
17,0.0289
18,0.0317
19,0.0275
20,0.0295
21,0.0264
22,0.0281
23,0.0281
24,0.0267
25,0.0259
26,0.0301
27,0.0277
28,0.0252
29,0.0256
30,0.0255
31,0.0239
32,0.0250
33,0.0249
34,0.0267
35,0.0258
36,0.0207
37,0.0275
38,0.0234
39,0.0219
40,0.0249
41,0.0241
42,0.0234
43,0.0237
44,0.0240
45,0.0239
46,0.0230
47,0.0255
48,0.0260
49,0.0270
50,0.0179
